sire,dam,beans,f,m
25,3,3,18,16
33,1,3,14,16
33,1,1,9,6
28,3,10,30,37
33,1,10,19,13
33,1,5,10,17
23,3,5,22,13
23,3,1,8,6
23,3,1,5,6
43,1,10,5,9
46,2,1,1,1
43,1,3,10,18
48,2,5,15,19
48,2,10,8,4
44,1,10,18,19
48,2,1,6,7
48,2,3,4,5
45,3,10,28,34
45,3,10,25,34
45,3,5,15,19
44,3,10,16,13
44,3,1,6,7
46,3,10,33,26
46,2,10,9,7
44,1,1,6,4
44,1,3,16,15
30,2,10,4,11
30,2,5,22,22
30,2,3,6,4
28,3,1,6,4
28,3,5,21,20
34,2,5,6,5
34,2,1,1,1
34,2,3,2,2
5,1,10,3,9
2,1,10,29,32
2,1,1,6,4
6,3,5,6,4
3,1,5,9,15
1,2,10,25,14
7,1,1,10,5
7,1,10,34,30
7,3,5,1,1
7,3,10,15,11
17,2,5,2,6
25,2,1,7,7
31,2,1,3,6
31,2,10,12,7
26,3,1,5,5
34,3,3,4,1
43,1,3,3,3
43,1,1,1,1
43,1,10,25,23
48,3,1,7,6
48,3,10,19,29
31,1,3,9,17
31,1,1,3,1
38,1,10,5,7
31,1,10,12,10
31,1,5,16,13
24,3,3,12,16
24,3,10,5,8
38,3,3,9,13
33,3,3,13,7
24,3,1,5,5
38,2,3,12,11
38,2,1,2,5
38,2,10,27,21
25,2,5,3,8
25,2,10,22,10
26,1,1,1,1
33,3,10,20,20
33,3,5,13,19
39,2,5,2,7
37,3,10,1,1
38,2,5,18,10
39,2,10,16,17
46,3,1,10,7
39,3,5,5,5
29,2,3,1,1
26,3,3,13,7
26,3,5,2,1
26,3,10,1,1
34,3,1,1,1
34,3,1,6,6
44,2,3,9,5
44,2,5,14,11
44,2,10,16,18
46,2,5,10,5
44,2,1,6,6
40,2,1,1,1
40,2,3,13,14
39,1,10,23,26
26,1,5,8,3
26,1,3,20,13
38,3,5,13,22
26,1,10,23,17
31,3,1,2,3
40,2,3,13,13
40,2,10,13,7
36,3,3,1,1
36,3,5,21,10
36,3,10,4,4
45,3,3,11,10
45,3,5,19,21
34,2,10,10,13
28,3,3,9,10
30,2,1,2,4
38,3,1,7,3
38,3,10,9,10
25,3,5,15,16
24,2,5,18,17
25,3,10,1,1
29,2,1,2,2
34,3,3,1,6
34,3,10,7,3
34,3,10,12,9
34,3,5,14,14
34,3,5,7,13
29,2,5,15,22
29,2,10,17,15
39,3,10,1,1
39,3,3,12,13
39,3,1,6,5
32,2,3,10,8
32,2,5,9,17
32,2,10,2,2
32,2,1,4,6
40,3,10,15,18
31,3,10,13,11
31,3,5,20,9
31,3,1,2,2
31,3,3,2,4
39,2,10,7,11
39,1,1,1,1
32,1,10,1,1
32,1,3,2,3
32,1,1,2,1
32,1,5,9,4
39,1,3,8,17
38,1,1,5,6
25,2,3,14,9
40,3,1,7,4
33,3,1,1,1
29,1,5,24,15
37,1,1,4,3
37,1,10,16,14
37,1,5,15,7
37,1,3,8,7
23,1,1,5,4
29,1,3,12,18
29,1,1,5,3
23,1,3,1,1
23,1,10,12,12
24,2,3,8,21
24,2,1,2,2
34,1,10,30,19
34,1,5,20,15
34,1,3,6,5
26,2,5,15,9
26,2,3,1,1
36,3,1,5,5
34,1,1,1,1
27,1,1,5,2
29,1,10,17,18
24,2,10,6,6
29,3,5,11,16
29,3,10,3,7
29,3,1,5,7
29,3,3,3,3
35,2,10,9,17
35,2,1,1,1
27,1,10,11,7
27,1,5,6,6
27,1,3,12,14
45,3,3,12,10
49,3,3,13,13
50,3,5,25,15
44,3,3,9,7
45,3,1,1,5
44,1,5,18,19
42,3,1,3,5
42,3,3,11,22
42,3,10,26,26
42,3,5,20,23
49,3,5,3,1
49,3,5,17,14
49,3,10,17,20
49,3,10,29,13
49,3,1,7,7
42,1,10,18,24
41,2,5,12,15
41,2,10,31,27
41,2,3,8,15
41,2,1,5,4
50,2,10,12,13
45,1,5,7,13
45,1,10,21,19
45,1,3,6,9
45,1,1,6,3
49,2,10,28,23
45,2,1,6,4
45,2,10,16,15
45,2,5,23,12
45,2,3,10,4
50,2,3,21,9
50,2,5,17,17
50,2,1,2,4
50,2,1,5,5
50,2,10,13,22
49,2,3,1,1
46,1,10,30,24
46,1,5,20,16
46,1,3,11,8
46,1,1,5,4
45,3,10,21,27
45,3,1,2,5
45,3,1,4,2
42,1,1,7,8
42,1,5,8,10
50,3,10,31,28
50,3,3,17,15
49,2,1,1,1
49,2,5,14,11
42,1,3,13,12
50,3,1,3,11
